idDeputadoAutor,idProposicao,tipoAutor,proponente
178989.0,2481753,Deputado(a),1
220586.0,2481752,Deputado(a),1
178929.0,2481748,Deputado(a),1
178929.0,2481747,Deputado(a),1
220635.0,2481733,Deputado(a),1
220706.0,2481733,Deputado(a),1
229939.0,2481733,Deputado(a),1
178871.0,2481732,Deputado(a),1
204541.0,2481731,Deputado(a),1
220635.0,2481730,Deputado(a),1
220706.0,2481730,Deputado(a),1
74856.0,2481729,Deputado(a),1
74856.0,2481727,Deputado(a),1
220547.0,2481724,Deputado(a),1
204488.0,2481723,Deputado(a),1
220547.0,2481722,Deputado(a),1
204436.0,2481720,Deputado(a),1
220548.0,2481718,Deputado(a),1
220548.0,2481716,Deputado(a),1
220574.0,2481714,Deputado(a),0
220550.0,2481714,Deputado(a),0
220621.0,2481714,Deputado(a),0
165470.0,2481714,Deputado(a),0
220526.0,2481714,Deputado(a),0
220673.0,2481714,Deputado(a),0
220693.0,2481714,Deputado(a),0
220628.0,2481714,Deputado(a),0
220619.0,2481714,Deputado(a),0
74273.0,2481714,Deputado(a),0
160553.0,2481714,Deputado(a),0
62881.0,2481714,Deputado(a),0
160673.0,2481714,Deputado(a),0
160601.0,2481714,Deputado(a),0
178854.0,2481714,Deputado(a),0
178871.0,2481714,Deputado(a),0
178937.0,2481714,Deputado(a),1
92346.0,2481714,Deputado(a),0
204387.0,2481714,Deputado(a),0
204507.0,2481714,Deputado(a),0
204450.0,2481714,Deputado(a),0
204528.0,2481714,Deputado(a),0
204472.0,2481714,Deputado(a),0
204473.0,2481714,Deputado(a),0
230088.0,2481714,Deputado(a),0
230177.0,2481714,Deputado(a),0
160512.0,2481713,Deputado(a),1
160512.0,2481712,Deputado(a),1
204372.0,2481710,Deputado(a),1
178871.0,2481709,Deputado(a),1
220674.0,2481707,Deputado(a),1
198783.0,2481704,Deputado(a),1
220571.0,2481702,Deputado(a),1
220660.0,2481702,Deputado(a),0
160665.0,2481702,Deputado(a),0
178854.0,2481702,Deputado(a),0
178937.0,2481702,Deputado(a),0
204394.0,2481702,Deputado(a),0
204412.0,2481702,Deputado(a),0
218086.0,2481702,Deputado(a),0
198783.0,2481699,Deputado(a),1
160161.0,2481698,Deputado(a),1
220623.0,2481697,Deputado(a),1
220623.0,2481696,Deputado(a),1
220623.0,2481695,Deputado(a),1
229939.0,2481694,Deputado(a),1
220623.0,2481693,Deputado(a),1
73701.0,2481692,Deputado(a),1
74159.0,2481692,Deputado(a),1
73701.0,2481691,Deputado(a),1
74159.0,2481691,Deputado(a),1
73701.0,2481690,Deputado(a),1
74159.0,2481690,Deputado(a),1
73701.0,2481689,Deputado(a),1
74159.0,2481689,Deputado(a),1
220552.0,2481688,Deputado(a),1
141470.0,2481687,Deputado(a),1
178910.0,2481686,Deputado(a),1
204436.0,2481685,Deputado(a),1
204436.0,2481684,Deputado(a),1
220568.0,2481683,Deputado(a),1
204436.0,2481682,Deputado(a),1
220543.0,2481681,Deputado(a),1
220586.0,2481679,Deputado(a),1
220715.0,2481678,Deputado(a),1
220715.0,2481677,Deputado(a),1
220715.0,2481676,Deputado(a),1
220715.0,2481675,Deputado(a),1
220715.0,2481674,Deputado(a),1
220715.0,2481673,Deputado(a),1
220715.0,2481672,Deputado(a),1
220715.0,2481671,Deputado(a),1
220715.0,2481670,Deputado(a),1
220715.0,2481669,Deputado(a),1
74856.0,2481668,Deputado(a),1
160161.0,2481667,Deputado(a),1
220605.0,2481667,Deputado(a),1
220607.0,2481667,Deputado(a),1
133439.0,2481667,Deputado(a),1
122158.0,2481667,Deputado(a),1
72442.0,2481667,Deputado(a),1
204455.0,2481667,Deputado(a),1
204372.0,2481667,Deputado(a),1
227433.0,2481667,Deputado(a),1
204394.0,2481666,Deputado(a),1
74856.0,2481665,Deputado(a),1
204570.0,2481664,Deputado(a),1
160512.0,2481662,Deputado(a),1
220543.0,2481661,Deputado(a),0
160553.0,2481661,Deputado(a),0
160674.0,2481661,Deputado(a),1
178854.0,2481661,Deputado(a),0
178937.0,2481661,Deputado(a),0
164360.0,2481660,Deputado(a),1
74253.0,2481658,Deputado(a),1
198783.0,2481657,Deputado(a),1
198783.0,2481647,Deputado(a),1
204541.0,2481644,Deputado(a),1
178937.0,2481638,Deputado(a),1
204436.0,2481637,Deputado(a),1
204436.0,2481636,Deputado(a),1
204488.0,2481631,Deputado(a),1
204488.0,2481630,Deputado(a),1
204488.0,2481629,Deputado(a),1
204488.0,2481628,Deputado(a),1
204488.0,2481627,Deputado(a),1
204488.0,2481626,Deputado(a),1
204488.0,2481625,Deputado(a),1
204488.0,2481624,Deputado(a),1
204488.0,2481623,Deputado(a),1
123086.0,2481622,Deputado(a),1
204488.0,2481621,Deputado(a),1
178937.0,2481619,Deputado(a),1
178937.0,2481618,Deputado(a),1
220618.0,2481617,Deputado(a),1
160575.0,2481616,Deputado(a),1
220570.0,2481615,Deputado(a),1
220618.0,2481614,Deputado(a),1
160575.0,2481613,Deputado(a),1
220618.0,2481612,Deputado(a),1
220618.0,2481611,Deputado(a),1
220618.0,2481610,Deputado(a),1
220715.0,2481609,Deputado(a),1
220715.0,2481608,Deputado(a),1
220715.0,2481607,Deputado(a),1
220715.0,2481606,Deputado(a),1
204436.0,2481605,Deputado(a),1
220715.0,2481604,Deputado(a),1
220715.0,2481603,Deputado(a),1
220715.0,2481602,Deputado(a),1
220715.0,2481601,Deputado(a),1
220715.0,2481600,Deputado(a),1
220715.0,2481599,Deputado(a),1
220572.0,2481598,Deputado(a),1
220715.0,2481597,Deputado(a),1
220715.0,2481596,Deputado(a),1
220715.0,2481595,Deputado(a),1
220715.0,2481594,Deputado(a),1
220715.0,2481593,Deputado(a),1
220715.0,2481592,Deputado(a),1
220715.0,2481591,Deputado(a),1
220715.0,2481590,Deputado(a),1
220715.0,2481589,Deputado(a),1
220618.0,2481588,Deputado(a),1
220715.0,2481587,Deputado(a),1
220715.0,2481586,Deputado(a),1
220715.0,2481585,Deputado(a),1
220715.0,2481584,Deputado(a),1
220715.0,2481583,Deputado(a),1
220715.0,2481582,Deputado(a),1
220715.0,2481581,Deputado(a),1
220715.0,2481580,Deputado(a),1
220715.0,2481579,Deputado(a),1
220715.0,2481578,Deputado(a),1
220715.0,2481577,Deputado(a),1
220715.0,2481576,Deputado(a),1
220715.0,2481575,Deputado(a),1
220715.0,2481574,Deputado(a),1
220715.0,2481573,Deputado(a),1
220715.0,2481572,Deputado(a),1
220715.0,2481571,Deputado(a),1
220715.0,2481570,Deputado(a),1
220715.0,2481569,Deputado(a),1
220715.0,2481568,Deputado(a),1
220715.0,2481567,Deputado(a),1
220715.0,2481566,Deputado(a),1
220715.0,2481565,Deputado(a),1
220715.0,2481564,Deputado(a),1
220715.0,2481563,Deputado(a),1
220715.0,2481562,Deputado(a),1
220715.0,2481561,Deputado(a),1
220715.0,2481560,Deputado(a),1
220715.0,2481559,Deputado(a),1
220715.0,2481558,Deputado(a),1
220715.0,2481557,Deputado(a),1
220715.0,2481556,Deputado(a),1
220715.0,2481555,Deputado(a),1
220715.0,2481554,Deputado(a),1
220715.0,2481553,Deputado(a),1
220715.0,2481552,Deputado(a),1
220715.0,2481551,Deputado(a),1
220715.0,2481550,Deputado(a),1
220715.0,2481549,Deputado(a),1
220715.0,2481548,Deputado(a),1
220715.0,2481547,Deputado(a),1
220715.0,2481546,Deputado(a),1
220715.0,2481545,Deputado(a),1
220715.0,2481544,Deputado(a),1
220715.0,2481543,Deputado(a),1
220715.0,2481542,Deputado(a),1
220715.0,2481541,Deputado(a),1
220715.0,2481540,Deputado(a),1
160512.0,2481539,Deputado(a),1
220715.0,2481538,Deputado(a),1
220715.0,2481537,Deputado(a),1
220618.0,2481536,Deputado(a),1
160512.0,2481535,Deputado(a),1
178871.0,2481534,Deputado(a),1
220618.0,2481533,Deputado(a),1
220618.0,2481532,Deputado(a),1
204464.0,2481531,Deputado(a),1
220618.0,2481530,Deputado(a),1
204464.0,2481529,Deputado(a),1
204464.0,2481528,Deputado(a),1
160512.0,2481527,Deputado(a),1
220618.0,2481526,Deputado(a),1
178871.0,2481525,Deputado(a),1
220618.0,2481524,Deputado(a),1
220658.0,2481522,Deputado(a),1
220670.0,2481521,Deputado(a),1
220618.0,2481520,Deputado(a),1
204485.0,2481519,Deputado(a),1
204541.0,2481518,Deputado(a),1
204485.0,2481516,Deputado(a),1
220618.0,2481515,Deputado(a),1
220618.0,2481514,Deputado(a),1
204526.0,2481513,Deputado(a),1
204526.0,2481512,Deputado(a),1
220660.0,2481511,Deputado(a),1
160553.0,2481511,Deputado(a),0
178854.0,2481511,Deputado(a),0
178937.0,2481511,Deputado(a),0
220670.0,2481510,Deputado(a),1
220618.0,2481509,Deputado(a),1
204485.0,2481508,Deputado(a),1
204541.0,2481507,Deputado(a),1
178829.0,2481506,Deputado(a),1
220654.0,2481505,Deputado(a),1
220629.0,2481503,Deputado(a),1
204485.0,2481502,Deputado(a),1
74376.0,2481501,Deputado(a),1
220654.0,2481500,Deputado(a),1
220670.0,2481499,Deputado(a),1
161440.0,2481497,Deputado(a),1
178937.0,2481496,Deputado(a),1
178937.0,2481494,Deputado(a),1
160512.0,2481493,Deputado(a),1
220670.0,2481492,Deputado(a),1
204541.0,2481491,Deputado(a),1
220654.0,2481489,Deputado(a),1
204571.0,2481487,Deputado(a),1
220654.0,2481486,Deputado(a),1
74398.0,2481485,Deputado(a),1
178857.0,2481484,Deputado(a),1
178857.0,2481483,Deputado(a),1
220654.0,2481481,Deputado(a),1
204571.0,2481480,Deputado(a),1
74856.0,2481479,Deputado(a),0
74159.0,2481479,Deputado(a),1
160553.0,2481479,Deputado(a),0
178854.0,2481479,Deputado(a),0
204394.0,2481479,Deputado(a),1
204534.0,2481479,Deputado(a),1
204535.0,2481479,Deputado(a),1
156190.0,2481478,Deputado(a),0
