uri,nome,siglaSexo,dataNascimento,ufNascimento
https://dadosabertos.camara.leg.br/api/v2/deputados/73441,Celso Russomanno,M,1956-08-20,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/204496,Celso Sabino,M,1978-08-29,PA
https://dadosabertos.camara.leg.br/api/v2/deputados/204504,Cezinha de Madureira,M,1973-12-12,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/205476,Charles Fernandes,M,1965-03-15,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/74171,Chico Alencar,M,1949-10-19,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/204476,Chiquinho Brazão,M,1962-02-22,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/204462,Chris Tonietto,F,1991-05-14,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220665,Clarissa Tércio,F,1984-12-26,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/74537,Claudio Cajado,M,1963-12-01,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/141408,Cleber Verde,M,1972-05-10,MA
https://dadosabertos.camara.leg.br/api/v2/deputados/88256,Clodoaldo Magalhães,M,1975-11-13,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/98148,Cobalchini,M,1963-09-07,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/204376,Coronel Armando,M,1957-06-23,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220594,Coronel Assis,M,1976-04-16,MT
https://dadosabertos.camara.leg.br/api/v2/deputados/204378,Coronel Chrisóstomo,M,1959-06-23,AM
https://dadosabertos.camara.leg.br/api/v2/deputados/220595,Coronel Fernanda,F,1974-11-13,MT
https://dadosabertos.camara.leg.br/api/v2/deputados/220666,Coronel Meira,M,1958-01-07,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/204514,Coronel Tadeu,M,1965-09-30,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/222142,Coronel Telhada,M,1961-10-10,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220590,Coronel Ulysses,M,1972-10-19,AC
https://dadosabertos.camara.leg.br/api/v2/deputados/178963,Covatti Filho,M,1987-07-25,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/220608,Cristiane Lopes,F,1983-11-17,RO
https://dadosabertos.camara.leg.br/api/v2/deputados/204355,Da Vitoria,M,1971-06-02,ES
https://dadosabertos.camara.leg.br/api/v2/deputados/141411,Dagoberto Nogueira,M,1955-07-21,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220555,Daiana Santos,F,1982-01-29,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/220692,Dal Barreto,M,1979-03-16,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/74467,Damião Feliciano,M,1952-04-28,PB
https://dadosabertos.camara.leg.br/api/v2/deputados/220629,Dandara,F,1994-01-23,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220603,Dani Cunha,F,1987-05-19,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220571,Daniel Agrobom,M,1968-07-02,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/74060,Daniel Almeida,M,1955-01-21,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/220582,Daniel Barbosa,M,1984-10-27,AL
https://dadosabertos.camara.leg.br/api/v2/deputados/204367,Daniel Freitas,M,1982-04-03,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/228941,Daniel José,M,1988-02-14,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/204409,Daniel Trzeciak,M,1986-11-04,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/204459,Daniela do Waguinho,F,1976-02-10,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220557,Daniela Reinehr,F,1977-04-04,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/62881,Danilo Forte,M,1958-09-01,CE
